class_id,correct_count,total_count,accuracy
0,51,60,85.00
1,713,720,99.03
2,740,750,98.67
3,389,450,86.44
4,652,660,98.79
5,575,630,91.27
6,137,150,91.33
7,415,450,92.22
8,430,450,95.56
9,480,480,100.00
10,641,660,97.12
11,394,420,93.81
12,634,690,91.88
13,717,720,99.58
14,269,270,99.63
15,209,210,99.52
16,149,150,99.33
17,329,360,91.39
18,357,390,91.54
19,60,60,100.00
20,87,90,96.67
21,59,90,65.56
22,106,120,88.33
23,148,150,98.67
24,89,90,98.89
25,450,480,93.75
26,180,180,100.00
27,30,60,50.00
28,145,150,96.67
29,87,90,96.67
30,124,150,82.67
31,257,270,95.19
32,58,60,96.67
33,210,210,100.00
34,120,120,100.00
35,388,390,99.49
36,120,120,100.00
37,60,60,100.00
38,676,690,97.97
39,89,90,98.89
40,86,90,95.56
41,59,60,98.33
42,80,90,88.89
