class_id,correct_count,total_count,accuracy
0,26,60,43.33
1,712,720,98.89
2,739,750,98.53
3,375,450,83.33
4,637,660,96.52
5,598,630,94.92
6,121,150,80.67
7,415,450,92.22
8,431,450,95.78
9,479,480,99.79
10,642,660,97.27
11,387,420,92.14
12,625,690,90.58
13,716,720,99.44
14,269,270,99.63
15,209,210,99.52
16,147,150,98.00
17,359,360,99.72
18,336,390,86.15
19,27,60,45.00
20,90,90,100.00
21,57,90,63.33
22,117,120,97.50
23,147,150,98.00
24,73,90,81.11
25,437,480,91.04
26,176,180,97.78
27,38,60,63.33
28,119,150,79.33
29,84,90,93.33
30,113,150,75.33
31,224,270,82.96
32,60,60,100.00
33,210,210,100.00
34,120,120,100.00
35,386,390,98.97
36,107,120,89.17
37,56,60,93.33
38,686,690,99.42
39,87,90,96.67
40,87,90,96.67
41,47,60,78.33
42,87,90,96.67
